Australian Bureau of Statistics

"2021 Census - selected dwelling characteristics"
"SA2 (EN) by RNTRD Rent (weekly) Ranges by HIND Total Household Income (weekly)"
"Counting: Dwelling Records"

Filters:
"Default Summation","Dwelling Records"

" Braidwood"
"HIND Total Household Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)","Partial income stated","All incomes not stated","Not applicable","Total",
"$650-$749",0,0,0,0,0,0,0,0,0,4,0,0,4,4,9,7,0,4,4,6,0,0,8,0,0,59,
"$750-$849",0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,7,0,0,0,0,0,0,0,0,20,
"$850-$949",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,
"$950 and over",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,11,
"Not stated",0,3,0,7,8,10,6,5,3,6,8,0,11,5,3,3,0,6,3,3,0,0,16,23,0,124,
"Not applicable",11,39,15,26,36,109,52,108,107,145,157,135,170,391,310,268,184,112,195,157,119,34,137,62,1335,4406,
"Total",20,104,32,84,154,311,169,255,276,382,412,366,438,1076,653,621,368,219,393,229,168,40,287,117,1343,8528,


" Parramatta - North"
"HIND Total Household Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)","Partial income stated","All incomes not stated","Not applicable","Total",
"RNTRD Rent (weekly) Ranges",
"$1-$74",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"$75-$99",0,0,0,4,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,12,
"$100-$124",0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,
"$125-$149",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,
"$150-$174",0,0,0,0,0,0,3,0,0,0,0,4,5,6,3,0,0,0,0,0,0,0,0,0,0,28,
"$175-$199",0,0,0,0,0,4,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,16,
"$200-$224",0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,35,
"$225-$249",0,0,0,0,0,6,3,3,0,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,35,
"$250-$274",0,10,0,0,3,3,6,3,7,9,11,8,3,6,4,3,5,0,0,0,0,0,3,0,0,90,
"$275-$299",0,0,0,0,0,3,4,4,5,4,14,9,11,11,5,0,0,0,0,0,0,3,0,0,0,79,
"$300-$324",0,5,0,0,3,9,15,11,15,19,30,23,20,31,4,11,4,5,0,0,0,0,8,5,0,209,
"$325-$349",0,0,0,0,0,0,7,7,6,9,13,14,10,22,9,4,0,0,0,0,0,0,6,0,0,117,
"$350-$374",0,9,0,0,0,8,0,10,12,16,32,25,24,41,21,12,10,3,4,4,0,0,9,4,0,250,
"$375-$399",0,0,0,0,3,0,3,10,7,14,18,18,23,43,16,13,6,0,9,0,4,0,3,0,0,197,
"$400-$424",0,8,0,0,5,0,6,11,11,21,31,31,37,72,38,39,13,13,12,7,3,0,13,0,0,369,
"$425-$449",0,0,0,0,3,0,4,4,7,6,15,10,12,42,15,17,13,5,10,5,5,0,9,0,0,186,
"$450-$474",0,3,0,0,3,3,8,13,13,13,17,35,30,86,40,46,24,6,33,16,4,0,15,0,0,408,
"$475-$499",0,3,0,0,6,0,0,4,5,15,12,9,25,45,28,31,20,7,26,4,4,0,5,4,0,259,
"$500-$524",0,3,0,0,0,3,7,8,15,16,21,19,27,81,40,58,31,23,49,17,12,0,13,0,0,453,
"$525-$549",0,0,0,0,0,0,3,5,4,5,8,7,10,35,12,9,12,14,14,3,9,0,3,0,0,165,
"$550-$649",3,11,4,3,0,0,6,7,10,15,19,26,22,85,40,66,42,29,52,29,26,0,18,3,0,518,
"$650-$749",0,3,0,4,0,0,0,5,5,4,3,8,6,18,6,10,4,7,17,6,4,0,5,6,0,112,
"$750-$849",0,4,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,3,0,5,0,4,0,0,28,
"$850-$949",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,
"$950 and over",0,0,0,0,0,0,0,0,0,0,0,5,4,6,0,0,3,0,0,0,0,0,0,0,0,17,
"Not stated",0,0,0,0,4,3,0,3,0,4,4,3,6,11,0,4,3,0,8,4,4,0,18,13,0,88,
"Not applicable",0,30,10,13,32,43,41,45,75,68,89,68,87,174,77,79,61,27,71,34,43,3,52,36,1212,2460,
"Total",9,103,28,32,79,94,123,147,209,258,351,335,361,841,369,411,240,145,318,139,121,17,180,71,1214,6184,


" Parramatta - South"
"HIND Total Household Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)","Partial income stated","All incomes not stated","Not applicable","Total",
"RNTRD Rent (weekly) Ranges",
"$1-$74",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,
"$75-$99",0,0,0,10,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,
"$100-$124",0,3,0,7,19,25,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,
"$125-$149",0,0,0,0,3,10,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,
"$150-$174",0,3,0,3,0,6,0,5,3,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,37,
"$175-$199",0,0,0,0,0,5,0,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,29,
"$200-$224",0,5,0,4,0,0,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,41,
"$225-$249",0,0,0,0,0,0,3,5,3,3,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,21,
"$250-$274",0,0,0,0,4,0,3,4,0,8,3,5,0,5,3,0,3,0,0,0,0,0,0,0,0,39,
"$275-$299",0,0,0,0,3,0,0,3,0,9,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,29,
"$300-$324",0,7,0,0,0,5,9,3,12,23,24,16,10,25,8,6,3,0,0,0,0,0,0,0,0,155,
"$325-$349",0,0,0,0,3,0,0,5,16,10,16,7,4,17,5,3,3,0,0,0,0,0,3,0,0,106,
"$350-$374",0,5,0,4,5,3,12,14,19,31,29,22,29,51,32,19,8,5,4,4,4,0,11,3,0,322,
"$375-$399",0,7,0,4,0,4,5,11,11,19,13,16,21,35,13,14,5,0,0,8,0,0,5,0,0,197,
"$400-$424",0,3,0,3,4,5,9,9,11,21,34,26,28,47,42,30,11,9,7,3,0,0,10,0,0,313,
"$425-$449",0,0,0,0,0,0,0,5,9,0,7,10,4,33,8,12,8,3,3,4,4,0,0,0,0,111,
"$450-$474",0,0,0,0,0,5,7,3,9,11,7,18,14,37,22,31,11,8,12,6,0,0,3,0,0,197,
"$475-$499",0,0,0,0,0,5,0,4,0,3,0,3,3,20,17,11,6,6,9,0,0,0,5,0,0,104,
"$500-$524",0,4,0,0,0,0,0,5,4,5,3,4,8,36,17,22,18,15,20,13,5,3,10,0,0,186,
"$525-$549",0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,6,10,3,7,6,5,0,0,0,0,68,
"$550-$649",3,0,0,0,0,3,0,0,5,3,7,11,6,16,13,16,13,15,22,21,10,5,9,0,0,180,
"$650-$749",0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,3,7,3,4,0,0,0,37,
"$750-$849",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,24,
"$850-$949",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,10,
"$950 and over",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,8,
"Not stated",3,3,0,0,0,3,0,3,0,11,4,5,0,9,10,5,0,0,4,0,4,0,6,6,0,88,
"Not applicable",3,27,5,12,24,47,39,44,53,82,70,71,66,146,90,64,50,27,31,22,27,10,54,26,708,1812,
"Total",14,68,16,55,86,141,107,130,185,251,234,229,215,508,291,253,154,102,137,97,71,25,145,46,710,4242,


" Rosehill - Harris Park"
"HIND Total Household Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)","Partial income stated","All incomes not stated","Not applicable","Total",
"RNTRD Rent (weekly) Ranges",
"$1-$74",0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,
"$75-$99",0,0,0,7,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,
"$100-$124",0,0,0,0,13,30,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,
"$125-$149",0,0,0,4,4,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,17,
"$150-$174",0,4,0,0,9,0,3,0,0,0,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,26,
"$175-$199",5,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,
"$200-$224",3,3,0,0,8,0,0,5,0,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,40,
"$225-$249",0,5,0,0,0,5,0,4,0,0,3,5,0,4,0,0,0,0,0,0,0,0,0,0,0,39,
"$250-$274",0,0,0,4,5,6,0,10,9,15,10,6,6,8,6,0,0,0,0,0,0,0,0,0,0,77,
"$275-$299",5,0,0,0,0,0,5,6,4,11,12,10,9,19,14,0,0,0,4,0,0,0,4,0,0,97,
"$300-$324",0,7,0,0,4,7,5,10,27,27,39,26,21,31,15,10,6,0,7,0,0,0,8,0,0,251,
"$325-$349",0,0,0,0,4,3,4,9,17,21,20,18,12,18,10,7,3,0,0,3,0,0,7,0,0,160,
"$350-$374",3,8,0,0,0,7,13,12,30,36,39,24,32,57,21,10,11,0,6,0,0,0,10,3,0,325,
"$375-$399",0,3,0,0,0,0,8,7,25,19,14,28,20,30,21,15,8,5,5,0,0,0,13,4,0,230,
"$400-$424",0,0,0,3,4,3,8,4,18,32,26,33,25,56,30,31,12,7,3,3,0,0,5,0,0,322,
"$425-$449",0,0,0,0,3,0,0,5,4,7,6,0,6,26,18,12,8,4,4,0,0,0,0,0,0,104,
"$450-$474",0,0,0,0,0,0,3,3,7,8,16,11,15,47,20,24,14,3,5,8,0,0,10,0,0,198,
"$475-$499",0,0,0,0,0,0,6,0,3,5,3,5,4,12,10,9,8,5,7,0,0,0,4,0,0,68,
"$500-$524",0,0,0,0,4,0,3,4,0,6,3,8,4,21,8,9,9,3,3,3,3,0,4,0,0,97,
"$525-$549",0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,3,0,0,0,0,0,22,
"$550-$649",0,0,0,0,0,0,0,0,0,6,0,4,3,5,7,8,9,6,3,7,0,0,9,0,0,84,
"$650-$749",0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,4,0,0,18,
"$750-$849",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
"$850-$949",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"$950 and over",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,
"Not stated",0,4,0,3,6,0,0,5,9,6,3,0,3,9,4,5,0,0,4,0,0,0,9,6,0,75,
"Not applicable",3,17,11,10,22,49,34,43,54,73,72,54,69,160,88,73,41,13,33,14,16,4,49,37,754,1801,
"Total",19,60,19,43,97,130,100,128,198,295,288,254,239,510,276,223,132,62,91,51,29,15,135,59,756,4176,


" Pennant Hills - Cheltenham"
"HIND Total Household Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)","Partial income stated","All incomes not stated","Not applicable","Total",
"RNTRD Rent (weekly) Ranges",
"$1-$74",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,
"$75-$99",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,
"$100-$124",0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,
"$125-$149",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,
"$150-$174",0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
"$175-$199",0,0,0,0,12,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,
"$200-$224",0,0,0,0,0,3,0,4,0,5,0,0,0,4,5,0,0,0,0,0,0,0,3,0,0,30,
"$225-$249",0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,
"$250-$274",0,3,0,0,0,0,0,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,22,
"$275-$299",0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,
"$300-$324",0,0,0,0,0,0,0,4,4,5,11,7,0,8,0,0,0,0,0,0,0,0,4,0,0,47,
"$325-$349",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,15,
"$350-$374",0,0,0,0,3,0,6,4,4,3,10,0,7,0,0,4,0,0,0,0,0,0,0,0,0,52,
"$375-$399",0,0,0,0,4,3,6,5,4,4,6,3,3,4,5,0,0,0,6,0,0,0,0,0,0,45,
"$400-$424",0,0,0,4,3,0,8,4,6,6,6,0,10,9,0,5,5,0,0,4,0,0,0,0,0,77,
"$425-$449",0,0,0,0,0,3,0,4,3,0,6,5,5,12,0,0,0,0,5,0,0,0,0,0,0,42,
"$450-$474",0,0,0,0,0,0,9,4,3,10,3,9,5,22,11,7,0,3,0,0,0,0,0,0,0,88,
"$475-$499",0,0,0,0,0,4,0,0,3,6,4,10,6,15,0,0,5,0,4,0,0,0,0,0,0,60,
"$500-$524",0,0,0,0,0,0,0,3,3,10,11,7,9,21,10,8,0,5,4,0,0,0,6,0,0,106,
"$525-$549",0,0,0,0,0,0,0,0,0,6,4,3,4,5,4,3,3,0,6,0,0,0,0,0,0,36,
"$550-$649",0,8,0,4,0,5,0,4,6,7,12,7,11,44,30,38,12,7,14,15,11,3,8,0,0,246,
"$650-$749",0,3,0,0,0,0,0,4,4,7,7,0,5,24,13,22,12,3,20,9,3,5,11,0,0,175,
"$750-$849",0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,9,11,6,10,11,16,0,3,0,0,104,
"$850-$949",0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,7,10,0,6,7,12,0,4,0,0,73,
"$950 and over",0,0,0,0,0,0,0,0,0,3,0,0,0,4,7,3,4,3,13,12,9,3,4,0,0,68,
"Not stated",0,5,3,4,3,0,3,3,0,4,0,0,4,5,0,0,0,0,0,0,3,0,8,3,0,44,
"Not applicable",11,64,33,48,66,160,148,188,198,254,276,215,226,494,379,402,338,209,506,492,624,218,278,71,571,6448,
"Total",11,86,40,65,101,210,190,229,259,332,367,282,302,691,477,518,410,240,600,549,679,229,341,80,571,7853,


" Epping (East) - North Epping"
"HIND Total Household Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)","Partial income stated","All incomes not stated","Not applicable","Total",
"RNTRD Rent (weekly) Ranges",
"$1-$74",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"$75-$99",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"$100-$124",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
"$125-$149",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"$150-$174",0,0,0,3,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,
"$175-$199",0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,
"$200-$224",0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,15,
"$225-$249",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,
"$250-$274",0,0,0,0,0,0,0,0,0,7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,16,
"$275-$299",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9,
"$300-$324",0,0,0,0,4,0,3,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,
"$325-$349",0,0,0,0,0,0,0,0,0,0,4,5,3,4,0,4,0,0,0,0,0,0,0,0,0,22,
"$350-$374",0,0,0,0,0,3,0,5,6,6,5,9,7,6,9,4,3,4,0,0,0,0,0,0,0,72,
"$375-$399",0,0,0,0,0,3,0,3,7,5,10,5,6,15,8,3,0,0,0,0,4,0,0,0,0,77,
"$400-$424",0,6,4,5,3,9,9,11,7,16,12,14,19,37,18,7,13,3,6,0,0,0,4,0,0,216,
"$425-$449",0,0,0,0,0,0,6,0,7,13,8,4,8,19,12,10,8,4,5,7,3,0,0,0,0,113,
"$450-$474",0,6,0,0,3,4,8,4,7,17,10,16,11,31,22,18,5,3,6,3,0,0,5,0,0,170,
"$475-$499",0,0,0,0,4,4,0,0,0,0,0,12,9,14,5,15,5,6,3,5,0,0,3,0,0,83,
"$500-$524",0,4,0,0,0,3,0,3,11,9,10,7,10,32,13,25,8,3,19,9,7,0,5,0,0,191,
"$525-$549",0,0,0,0,0,4,0,0,0,4,5,0,4,17,9,10,6,3,5,0,4,0,0,0,0,86,
"$550-$649",0,6,0,0,0,0,5,10,13,19,21,26,19,68,38,46,27,11,49,26,6,5,21,0,0,425,
"$650-$749",0,0,0,0,0,0,0,6,0,9,11,0,5,18,18,18,7,0,16,14,6,0,6,0,0,136,
"$750-$849",0,0,0,0,0,0,0,0,0,0,7,0,3,6,3,3,5,3,4,4,0,5,3,0,0,69,
"$850-$949",0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,4,6,0,3,0,0,24,
"$950 and over",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,4,0,0,0,0,31,
"Not stated",0,7,0,0,0,0,4,0,0,0,3,0,3,8,0,3,3,0,0,5,0,0,3,3,0,50,
"Not applicable",11,69,27,28,39,96,80,118,144,148,167,150,129,296,195,229,184,115,237,216,280,70,123,48,497,3707,
"Total",15,95,37,39,61,134,134,172,215,267,286,262,247,607,351,409,280,164,365,297,323,81,183,57,500,5593,


" Epping (NSW) - West"
"HIND Total Household Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)","Partial income stated","All incomes not stated","Not applicable","Total",
"RNTRD Rent (weekly) Ranges",
"$1-$74",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,
"$75-$99",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,
"$100-$124",0,0,0,0,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,
"$125-$149",0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,
"$150-$174",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,11,
"$175-$199",0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,
"$200-$224",0,0,0,0,3,9,10,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,
"$225-$249",0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,12,
"$250-$274",0,0,0,0,0,0,0,0,0,4,0,4,0,3,5,0,0,0,0,0,0,0,0,0,0,15,
"$275-$299",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,
"$300-$324",0,0,0,0,0,3,4,0,3,6,4,6,4,5,5,3,0,0,0,0,0,0,4,0,0,37,
"$325-$349",0,3,0,0,0,0,0,4,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,16,
"$350-$374",0,3,0,0,0,0,4,3,9,9,9,15,0,6,0,0,6,0,5,0,0,0,5,0,0,66,
"$375-$399",0,5,0,0,0,0,4,0,3,8,8,3,4,15,3,6,3,0,0,0,0,0,3,0,0,75,
"$400-$424",0,9,3,0,5,3,7,7,5,18,18,29,19,37,13,15,8,0,3,0,3,0,0,0,0,216,
"$425-$449",0,4,5,0,0,0,6,0,5,9,8,10,3,21,6,8,5,0,0,3,0,0,0,0,0,101,
"$450-$474",0,0,0,0,8,4,10,7,9,16,23,16,18,37,28,18,10,0,3,6,0,0,6,0,0,225,
"$475-$499",0,4,0,0,0,4,3,8,12,11,18,7,13,39,29,25,9,5,10,3,0,0,12,6,0,212,
"$500-$524",0,6,4,0,3,6,15,9,11,12,19,34,23,48,30,35,24,8,18,9,4,0,6,0,0,335,
"$525-$549",0,8,0,0,0,0,0,4,10,8,9,3,13,40,14,7,12,3,5,5,5,0,4,0,0,149,
"$550-$649",0,10,0,4,4,4,4,11,10,18,26,32,32,79,54,47,34,17,45,19,21,3,16,3,0,499,
"$650-$749",0,3,0,3,0,0,0,9,16,7,13,4,15,30,21,16,6,6,20,20,13,0,10,4,0,215,
"$750-$849",0,0,0,0,0,0,0,0,6,0,0,10,4,8,13,4,9,8,14,3,13,0,4,0,0,101,
"$850-$949",0,0,0,0,0,0,0,0,0,3,4,0,3,6,3,0,7,0,11,7,8,3,7,0,0,61,
"$950 and over",0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,8,8,5,4,4,0,0,45,
"Not stated",0,7,0,0,0,3,0,0,3,4,3,4,3,3,4,5,4,0,0,0,0,0,4,6,0,67,
"Not applicable",9,76,38,38,45,135,99,145,170,224,213,187,175,383,265,270,227,131,264,229,244,92,167,63,663,4555,
