RNTRD Rent (weekly) Ranges,Negative income,Nil income,"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)",Partial income stated,All incomes not stated,Not applicable,Total,Suburb
$375-$399,0,0,0,0,0,0,6,4,9,11,9,10,10,17,3,3,0,0,0,0,0,0,0,0,0,85, Budgewoi - Buff Point - Halekulani
$400-$424,0,0,0,0,0,0,6,7,10,23,21,14,3,14,5,4,0,0,3,0,0,0,8,0,0,121, Budgewoi - Buff Point - Halekulani
$425-$449,0,0,0,0,0,0,0,8,4,11,3,0,5,4,0,0,5,0,0,0,0,0,0,0,0,46, Budgewoi - Buff Point - Halekulani
$450-$474,0,0,0,0,0,0,0,7,0,7,7,5,3,9,4,6,0,0,0,0,0,0,0,0,0,57, Budgewoi - Buff Point - Halekulani
$475-$499,0,0,0,0,0,0,0,4,5,0,3,6,0,3,0,5,0,0,0,0,0,0,5,0,0,27, Budgewoi - Buff Point - Halekulani
$500-$524,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,3,0,0,0,0,0,0,3,0,0,26, Budgewoi - Buff Point - Halekulani
$525-$549,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0, Budgewoi - Buff Point - Halekulani
$550-$649,0,0,0,0,0,0,0,0,5,0,3,0,0,4,7,0,0,0,0,0,0,0,0,0,0,21, Budgewoi - Buff Point - Halekulani
$650-$749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12, Budgewoi - Buff Point - Halekulani
$750-$849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Budgewoi - Buff Point - Halekulani
$850-$949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Budgewoi - Buff Point - Halekulani
$950 and over,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3, Budgewoi - Buff Point - Halekulani
Not stated,0,0,0,0,0,5,3,3,3,0,4,5,4,4,0,0,0,0,0,0,0,0,3,6,0,30, Budgewoi - Buff Point - Halekulani
Not applicable,15,52,28,46,79,275,193,266,217,208,223,151,153,312,201,159,76,39,58,26,24,9,140,86,561,3588, Budgewoi - Buff Point - Halekulani
Total,21,59,25,55,107,329,294,350,307,328,317,217,206,405,238,194,90,43,63,30,24,9,168,99,570,4545, Budgewoi - Buff Point - Halekulani
$1-$74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Chittaway Bay - Tumbi Umbi
$75-$99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5, Chittaway Bay - Tumbi Umbi
$100-$124,0,0,0,0,4,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,19, Chittaway Bay - Tumbi Umbi
$125-$149,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20, Chittaway Bay - Tumbi Umbi
$150-$174,0,0,0,0,0,0,0,3,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,16, Chittaway Bay - Tumbi Umbi
$175-$199,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9, Chittaway Bay - Tumbi Umbi
$200-$224,0,0,0,0,0,4,4,3,0,3,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,28, Chittaway Bay - Tumbi Umbi
$225-$249,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13, Chittaway Bay - Tumbi Umbi
$250-$274,0,0,0,0,0,3,10,0,0,4,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,28, Chittaway Bay - Tumbi Umbi
$275-$299,0,0,0,0,5,0,3,0,6,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,27, Chittaway Bay - Tumbi Umbi
$300-$324,0,0,0,0,7,8,11,3,9,9,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,67, Chittaway Bay - Tumbi Umbi
$325-$349,0,0,0,0,0,0,0,0,5,5,0,4,9,0,4,0,0,0,0,0,0,0,0,0,0,25, Chittaway Bay - Tumbi Umbi
$350-$374,0,0,0,0,0,3,9,3,10,12,9,5,4,4,0,0,0,0,0,0,0,0,0,0,0,61, Chittaway Bay - Tumbi Umbi
$375-$399,0,0,0,0,0,0,4,0,6,6,8,13,3,16,4,0,0,0,0,0,0,0,0,0,0,65, Chittaway Bay - Tumbi Umbi
$400-$424,0,0,0,0,0,0,3,5,11,12,10,11,6,16,9,0,0,0,0,0,0,0,8,0,0,106, Chittaway Bay - Tumbi Umbi
$425-$449,0,0,0,0,0,0,4,7,10,10,9,7,4,6,10,7,0,0,0,0,0,0,0,0,0,84, Chittaway Bay - Tumbi Umbi
$450-$474,0,0,0,0,4,0,4,0,5,9,9,12,9,20,12,0,4,3,0,0,0,0,3,0,0,90, Chittaway Bay - Tumbi Umbi
$475-$499,0,0,0,0,0,0,0,0,5,4,9,6,8,13,4,3,6,0,0,0,0,0,6,0,0,55, Chittaway Bay - Tumbi Umbi
$500-$524,0,0,0,0,0,0,5,0,4,3,8,6,12,10,13,9,3,0,0,0,0,0,5,0,0,75, Chittaway Bay - Tumbi Umbi
$525-$549,0,0,0,0,0,0,0,0,0,0,0,5,3,4,0,3,0,0,0,0,0,0,0,0,0,24, Chittaway Bay - Tumbi Umbi
$550-$649,0,0,0,0,0,3,4,0,6,4,8,5,0,22,14,10,8,4,3,0,0,0,6,0,0,106, Chittaway Bay - Tumbi Umbi
$650-$749,0,0,0,0,0,0,0,0,0,3,0,0,3,3,3,3,0,0,0,0,0,0,5,0,0,28, Chittaway Bay - Tumbi Umbi
$750-$849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8, Chittaway Bay - Tumbi Umbi
$850-$949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4, Chittaway Bay - Tumbi Umbi
$950 and over,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7, Chittaway Bay - Tumbi Umbi
Not stated,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,31, Chittaway Bay - Tumbi Umbi
Not applicable,16,56,25,54,84,287,139,287,249,309,311,248,252,586,409,366,230,121,174,114,83,36,199,81,405,5135, Chittaway Bay - Tumbi Umbi
Total,22,65,31,60,109,322,213,339,335,400,398,334,318,715,495,409,264,133,197,119,90,36,240,94,405,6143, Chittaway Bay - Tumbi Umbi
$1-$74,0,0,0,8,0,4,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21, Gorokan - Kanwal - Charmhaven
$75-$99,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15, Gorokan - Kanwal - Charmhaven
$100-$124,0,0,0,5,23,29,8,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,90, Gorokan - Kanwal - Charmhaven
$125-$149,0,0,0,3,5,8,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,27, Gorokan - Kanwal - Charmhaven
$150-$174,0,0,0,0,6,8,3,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46, Gorokan - Kanwal - Charmhaven
$175-$199,0,3,0,6,6,14,19,4,6,3,3,0,0,4,0,0,0,0,0,0,0,0,0,5,0,77, Gorokan - Kanwal - Charmhaven
$200-$224,3,0,0,4,8,15,23,10,11,10,0,4,0,3,0,0,0,0,0,0,0,0,3,3,0,97, Gorokan - Kanwal - Charmhaven
$225-$249,0,0,0,0,4,12,9,10,17,7,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,74, Gorokan - Kanwal - Charmhaven
$250-$274,0,0,4,0,5,19,20,12,12,16,12,0,4,4,7,0,0,0,0,0,0,0,4,0,0,108, Gorokan - Kanwal - Charmhaven
$275-$299,0,0,0,0,3,9,15,11,14,12,5,3,8,9,0,0,0,0,0,0,0,0,0,3,0,88, Gorokan - Kanwal - Charmhaven
$300-$324,0,5,0,0,12,14,28,33,34,29,35,15,11,7,7,0,0,0,0,0,0,0,10,3,0,242, Gorokan - Kanwal - Charmhaven
$325-$349,0,4,0,0,3,5,21,23,36,25,20,17,13,11,0,4,0,0,0,0,0,0,6,9,0,204, Gorokan - Kanwal - Charmhaven
$350-$374,3,3,3,4,9,13,30,49,61,72,50,34,29,27,23,8,0,0,4,0,0,0,10,3,0,447, Gorokan - Kanwal - Charmhaven
$375-$399,0,0,0,7,6,10,20,19,26,44,25,21,26,35,14,7,0,5,0,0,0,0,12,0,0,281, Gorokan - Kanwal - Charmhaven
$400-$424,5,5,0,0,4,9,16,25,34,42,41,37,23,48,18,8,0,0,4,0,0,0,8,5,0,334, Gorokan - Kanwal - Charmhaven
$425-$449,0,0,0,0,0,3,9,9,3,17,7,14,8,25,8,10,0,0,0,0,0,0,6,0,0,123, Gorokan - Kanwal - Charmhaven
$450-$474,0,0,3,0,4,0,3,12,16,17,21,17,9,35,11,5,4,0,0,0,0,0,12,0,0,164, Gorokan - Kanwal - Charmhaven
$475-$499,0,0,0,0,0,4,0,0,0,9,3,14,0,11,3,0,0,0,6,0,0,0,3,0,0,65, Gorokan - Kanwal - Charmhaven
$500-$524,0,0,0,0,0,5,0,0,9,8,9,4,7,17,6,6,3,5,0,0,0,0,7,0,0,87, Gorokan - Kanwal - Charmhaven
$525-$549,0,0,0,0,0,0,0,0,0,0,3,0,0,4,5,0,0,3,0,0,0,0,0,0,0,16, Gorokan - Kanwal - Charmhaven
$550-$649,0,4,0,0,0,0,0,7,4,4,6,11,0,7,8,4,0,3,3,0,0,0,10,0,0,71, Gorokan - Kanwal - Charmhaven
$650-$749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,16, Gorokan - Kanwal - Charmhaven
$750-$849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Gorokan - Kanwal - Charmhaven
$850-$949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Gorokan - Kanwal - Charmhaven
$950 and over,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5, Gorokan - Kanwal - Charmhaven
Not stated,3,8,0,4,4,12,13,0,7,4,7,0,0,3,0,0,3,0,3,0,0,0,13,9,0,91, Gorokan - Kanwal - Charmhaven
Not applicable,22,85,38,69,142,592,254,451,434,429,452,310,338,601,383,292,162,85,98,78,40,7,244,189,1080,6896, Gorokan - Kanwal - Charmhaven
Total,42,118,57,113,246,779,489,693,734,754,716,513,482,861,501,345,186,100,116,82,45,14,373,262,1085,9704, Gorokan - Kanwal - Charmhaven
$1-$74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Jilliby - Yarramalong
$75-$99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Jilliby - Yarramalong
$100-$124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Jilliby - Yarramalong
$125-$149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Jilliby - Yarramalong
$150-$174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Jilliby - Yarramalong
$175-$199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Jilliby - Yarramalong
$200-$224,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6, Jilliby - Yarramalong
$225-$249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3, Jilliby - Yarramalong
$250-$274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6, Jilliby - Yarramalong
$275-$299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Jilliby - Yarramalong
$300-$324,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9, Jilliby - Yarramalong
$325-$349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Jilliby - Yarramalong
$350-$374,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8, Jilliby - Yarramalong
$375-$399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3, Jilliby - Yarramalong
$400-$424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Jilliby - Yarramalong
$425-$449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Jilliby - Yarramalong
$450-$474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Jilliby - Yarramalong
$475-$499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Jilliby - Yarramalong
$500-$524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4, Jilliby - Yarramalong
$525-$549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Jilliby - Yarramalong
$550-$649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17, Jilliby - Yarramalong
$650-$749,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,11, Jilliby - Yarramalong
$750-$849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9, Jilliby - Yarramalong
$850-$949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Jilliby - Yarramalong
$950 and over,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4, Jilliby - Yarramalong
Not stated,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9, Jilliby - Yarramalong
Not applicable,3,10,6,13,10,28,16,34,31,49,46,36,48,87,97,83,54,39,60,65,51,28,61,19,179,1134, Jilliby - Yarramalong
Total,6,12,6,11,13,28,18,39,36,54,52,38,52,93,107,90,59,37,62,64,51,28,69,20,179,1229, Jilliby - Yarramalong
$1-$74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4, Lake Munmorah - Mannering Park
$75-$99,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4, Lake Munmorah - Mannering Park
$100-$124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7, Lake Munmorah - Mannering Park
$125-$149,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7, Lake Munmorah - Mannering Park
$150-$174,0,0,0,0,3,5,5,7,4,5,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,33, Lake Munmorah - Mannering Park
$175-$199,0,0,0,0,4,4,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18, Lake Munmorah - Mannering Park
$200-$224,0,0,0,0,5,4,12,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35, Lake Munmorah - Mannering Park
$225-$249,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3, Lake Munmorah - Mannering Park
$250-$274,0,0,0,0,0,3,4,0,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21, Lake Munmorah - Mannering Park
$275-$299,0,0,0,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21, Lake Munmorah - Mannering Park
$300-$324,0,0,0,0,0,3,19,14,13,13,7,7,0,5,5,0,0,0,0,0,0,0,0,0,0,84, Lake Munmorah - Mannering Park
$325-$349,0,0,0,0,0,4,3,0,6,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39, Lake Munmorah - Mannering Park
$350-$374,0,0,0,0,4,5,3,6,8,15,10,5,11,7,4,0,0,0,0,0,0,0,4,4,0,90, Lake Munmorah - Mannering Park
$375-$399,0,0,0,0,4,0,0,3,11,19,7,7,0,7,7,0,0,0,0,0,0,0,0,0,0,73, Lake Munmorah - Mannering Park
$400-$424,0,7,0,0,0,0,3,7,9,18,11,6,10,24,7,3,0,0,0,0,0,0,12,0,0,129, Lake Munmorah - Mannering Park
$425-$449,0,0,0,0,0,0,0,3,0,0,7,0,6,7,3,0,0,0,0,0,0,0,3,0,0,36, Lake Munmorah - Mannering Park
$450-$474,0,0,0,0,0,0,0,0,11,3,5,5,6,8,3,3,0,0,0,0,0,0,3,0,0,57, Lake Munmorah - Mannering Park
$475-$499,0,0,0,0,0,0,0,4,5,4,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,27, Lake Munmorah - Mannering Park
$500-$524,0,0,0,0,0,0,4,0,0,0,6,3,6,9,3,0,0,0,0,0,0,0,7,0,0,35, Lake Munmorah - Mannering Park
$525-$549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,10, Lake Munmorah - Mannering Park
$550-$649,0,0,0,0,0,0,0,0,0,0,0,0,3,8,6,0,0,0,0,0,0,0,3,0,0,28, Lake Munmorah - Mannering Park
$650-$749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8, Lake Munmorah - Mannering Park
$750-$849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3, Lake Munmorah - Mannering Park
$850-$949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Lake Munmorah - Mannering Park
$950 and over,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3, Lake Munmorah - Mannering Park
Not stated,0,0,0,0,0,3,0,0,5,0,0,3,0,4,0,0,0,0,0,0,0,0,0,5,0,20, Lake Munmorah - Mannering Park
Not applicable,16,72,26,45,103,323,392,472,314,270,254,200,167,318,212,139,94,51,62,36,27,6,157,145,566,4461, Lake Munmorah - Mannering Park
Total,19,85,27,47,133,371,459,526,403,366,335,253,210,417,251,150,100,55,66,40,27,6,193,156,568,5264, Lake Munmorah - Mannering Park
$1-$74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4, Ourimbah - Fountaindale
$75-$99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Ourimbah - Fountaindale
$100-$124,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9, Ourimbah - Fountaindale
$125-$149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Ourimbah - Fountaindale
$150-$174,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6, Ourimbah - Fountaindale
$175-$199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7, Ourimbah - Fountaindale
$200-$224,0,0,0,0,3,0,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11, Ourimbah - Fountaindale
$225-$249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Ourimbah - Fountaindale
$250-$274,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7, Ourimbah - Fountaindale
$275-$299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6, Ourimbah - Fountaindale
$300-$324,0,0,0,0,0,0,4,3,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,21, Ourimbah - Fountaindale
$325-$349,0,0,0,0,0,3,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17, Ourimbah - Fountaindale
$350-$374,0,0,0,0,0,0,0,3,3,5,4,3,5,6,0,0,4,0,0,0,0,0,0,0,0,37, Ourimbah - Fountaindale
$375-$399,0,0,0,0,0,0,0,6,5,6,7,4,9,3,3,0,0,0,0,0,0,0,0,0,0,40, Ourimbah - Fountaindale
$400-$424,0,0,0,0,0,0,0,0,4,0,3,7,3,7,0,0,3,0,0,3,0,0,0,0,0,43, Ourimbah - Fountaindale
$425-$449,0,0,0,0,0,0,4,0,0,0,0,7,4,3,4,0,0,0,0,0,0,0,3,0,0,20, Ourimbah - Fountaindale
$450-$474,0,0,0,0,0,0,0,0,5,0,4,0,0,6,3,9,0,0,0,0,0,0,0,0,0,38, Ourimbah - Fountaindale
$475-$499,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,12, Ourimbah - Fountaindale
$500-$524,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,4,0,0,0,0,0,0,0,0,21, Ourimbah - Fountaindale
$525-$549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Ourimbah - Fountaindale
$550-$649,0,0,0,0,0,0,0,0,3,0,0,0,3,4,0,0,4,3,0,0,3,0,5,0,0,25, Ourimbah - Fountaindale
$650-$749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8, Ourimbah - Fountaindale
$750-$849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3, Ourimbah - Fountaindale
$850-$949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Ourimbah - Fountaindale
$950 and over,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3, Ourimbah - Fountaindale
Not stated,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12, Ourimbah - Fountaindale
Not applicable,5,19,6,9,18,61,33,54,66,76,80,85,75,154,126,110,68,52,87,46,26,9,69,28,140,1508, Ourimbah - Fountaindale
Total,5,20,11,16,26,70,59,73,93,92,119,103,100,205,146,127,82,55,96,50,30,15,84,37,140,1859, Ourimbah - Fountaindale
$1-$74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Summerland Point - Gwandalan
$75-$99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Summerland Point - Gwandalan
$100-$124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Summerland Point - Gwandalan
$125-$149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Summerland Point - Gwandalan
$150-$174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3, Summerland Point - Gwandalan
$175-$199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3, Summerland Point - Gwandalan
$200-$224,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8, Summerland Point - Gwandalan
$225-$249,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6, Summerland Point - Gwandalan
$250-$274,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13, Summerland Point - Gwandalan
$275-$299,0,0,0,0,3,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11, Summerland Point - Gwandalan
$300-$324,0,0,0,0,4,3,10,0,8,0,0,6,3,3,0,0,0,0,0,0,0,0,6,0,0,56, Summerland Point - Gwandalan
$325-$349,0,0,0,0,0,3,0,3,0,0,3,0,6,6,0,0,0,0,0,0,0,0,0,0,0,26, Summerland Point - Gwandalan
$350-$374,0,0,0,0,0,0,4,5,10,7,10,9,3,4,4,0,0,0,0,0,0,0,0,0,0,63, Summerland Point - Gwandalan
$375-$399,0,0,0,0,0,3,0,6,10,0,3,5,3,3,6,0,0,0,0,0,0,0,4,0,0,48, Summerland Point - Gwandalan
$400-$424,0,0,0,0,0,0,4,4,5,6,15,6,3,5,11,4,0,4,0,0,0,0,6,5,0,72, Summerland Point - Gwandalan
$425-$449,0,0,0,0,0,0,0,4,4,4,5,6,0,8,3,0,0,0,0,0,0,0,0,0,0,28, Summerland Point - Gwandalan
$450-$474,0,0,0,0,0,0,0,4,0,4,0,10,3,3,4,0,0,0,0,0,0,0,0,0,0,44, Summerland Point - Gwandalan
$475-$499,0,0,0,0,0,0,0,4,4,4,6,4,5,0,7,0,0,0,0,0,0,0,6,0,0,34, Summerland Point - Gwandalan
$500-$524,0,0,0,0,0,0,0,0,4,0,4,3,0,8,3,4,5,0,0,0,0,0,4,0,0,33, Summerland Point - Gwandalan
$525-$549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4, Summerland Point - Gwandalan
$550-$649,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,19, Summerland Point - Gwandalan
$650-$749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Summerland Point - Gwandalan
$750-$849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Summerland Point - Gwandalan
$850-$949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Summerland Point - Gwandalan
$950 and over,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Summerland Point - Gwandalan
Not stated,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,3,0,17, Summerland Point - Gwandalan
Not applicable,10,38,19,27,37,159,82,176,139,138,171,100,103,237,141,109,67,27,50,27,17,6,91,36,442,2444, Summerland Point - Gwandalan
