RNTRD Rent (weekly) Ranges,Negative income,Nil income,"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)",Partial income stated,All incomes not stated,Not applicable,Total,Suburb
$450-$474,0,0,0,0,0,0,5,0,6,9,3,0,10,15,3,6,0,0,0,0,3,0,0,0,0,65, Karabar
$475-$499,0,0,0,0,0,0,0,0,0,4,0,4,5,5,8,4,0,0,0,0,0,0,6,0,0,44, Karabar
$500-$524,0,0,0,0,0,0,0,0,0,0,0,0,5,5,14,0,0,4,0,0,0,0,4,0,0,35, Karabar
$525-$549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9, Karabar
$550-$649,0,0,0,0,0,0,0,0,0,4,3,6,8,7,12,5,8,0,0,5,0,0,3,0,0,62, Karabar
$650-$749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,19, Karabar
$750-$849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5, Karabar
$850-$949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4, Karabar
$950 and over,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Karabar
Not stated,0,0,0,0,0,0,0,5,0,0,6,0,4,0,3,3,0,0,0,0,0,0,10,7,0,43, Karabar
Not applicable,4,29,10,18,21,103,41,89,97,104,137,122,118,263,182,212,136,74,133,85,68,12,119,37,338,2556, Karabar
Total,10,39,12,34,58,163,91,140,157,177,202,185,178,351,256,255,155,85,149,96,65,14,168,59,341,3451, Karabar
$1-$74,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6, Queanbeyan
$75-$99,0,0,0,6,7,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22, Queanbeyan
$100-$124,0,0,0,4,16,26,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66, Queanbeyan
$125-$149,0,0,0,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14, Queanbeyan
$150-$174,0,0,0,0,10,0,8,8,6,6,5,0,3,5,0,0,0,0,0,0,0,0,0,0,0,46, Queanbeyan
$175-$199,0,0,0,4,5,7,10,6,0,3,0,3,0,5,3,4,0,0,0,0,0,0,0,0,0,65, Queanbeyan
$200-$224,0,0,0,5,4,19,15,12,15,16,8,13,7,12,3,0,0,0,0,0,0,0,0,0,0,130, Queanbeyan
$225-$249,0,3,0,0,6,9,11,11,15,14,8,11,9,9,7,0,0,0,0,0,0,0,3,5,0,118, Queanbeyan
$250-$274,0,0,0,0,5,6,19,9,32,20,28,24,12,15,0,5,0,0,0,0,0,0,4,0,0,196, Queanbeyan
$275-$299,0,0,0,4,4,10,3,7,8,18,9,9,13,20,6,5,0,0,0,0,0,0,5,0,0,120, Queanbeyan
$300-$324,0,0,0,0,0,4,17,6,20,38,35,24,27,24,15,3,3,0,3,0,0,0,3,0,0,229, Queanbeyan
$325-$349,0,0,0,0,3,0,4,0,12,8,18,19,9,23,4,4,0,0,0,0,0,0,3,0,0,113, Queanbeyan
$350-$374,0,0,0,4,0,3,5,6,21,30,23,9,18,36,13,8,7,0,4,0,0,0,7,0,0,195, Queanbeyan
$375-$399,0,0,0,0,0,0,3,0,3,14,8,18,8,11,11,4,0,0,0,0,0,0,0,0,0,88, Queanbeyan
$400-$424,0,6,0,0,0,3,3,3,3,17,17,13,12,20,15,11,3,0,0,8,0,0,5,0,0,140, Queanbeyan
$425-$449,0,0,0,0,0,0,3,0,4,10,10,7,7,21,7,5,5,0,0,0,0,0,3,0,0,77, Queanbeyan
$450-$474,0,0,0,3,0,0,9,0,3,12,12,9,20,24,20,8,3,3,0,0,0,0,3,0,0,130, Queanbeyan
$475-$499,0,0,0,0,0,0,0,3,0,6,4,5,3,11,7,5,6,3,5,0,0,0,5,0,0,58, Queanbeyan
$500-$524,0,0,0,0,0,0,0,3,0,7,9,10,6,24,17,11,5,6,3,5,0,0,5,0,0,117, Queanbeyan
$525-$549,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,4,0,0,20, Queanbeyan
$550-$649,0,0,0,0,0,0,3,0,0,6,3,9,9,20,8,12,9,9,3,0,0,0,8,0,0,103, Queanbeyan
$650-$749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,20, Queanbeyan
$750-$849,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,11, Queanbeyan
$850-$949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Queanbeyan
$950 and over,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5, Queanbeyan
Not stated,0,0,0,4,0,3,5,0,8,0,7,4,4,0,0,7,0,0,4,0,0,0,4,3,0,51, Queanbeyan
Not applicable,6,42,17,33,41,172,81,150,124,183,207,178,192,369,186,189,145,93,131,62,70,12,80,49,742,3564, Queanbeyan
Total,11,51,22,66,108,277,209,243,273,400,416,369,359,665,330,289,189,123,168,83,82,21,148,67,741,5710, Queanbeyan
$1-$74,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7, Queanbeyan - East
$75-$99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9, Queanbeyan - East
$100-$124,0,0,0,0,3,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19, Queanbeyan - East
$125-$149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11, Queanbeyan - East
$150-$174,0,0,0,0,0,3,6,3,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,29, Queanbeyan - East
$175-$199,0,0,0,0,3,7,9,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,28, Queanbeyan - East
$200-$224,0,0,0,0,7,8,9,6,4,15,8,11,3,5,0,4,0,0,3,0,0,0,0,0,0,77, Queanbeyan - East
$225-$249,0,0,0,0,4,7,3,10,0,10,4,7,3,11,0,0,0,0,0,0,0,0,3,0,0,66, Queanbeyan - East
$250-$274,0,0,0,0,0,3,4,9,15,13,22,15,20,11,4,7,3,0,0,0,0,0,3,0,0,134, Queanbeyan - East
$275-$299,0,0,0,0,4,7,0,3,3,4,4,3,8,3,0,3,4,0,0,0,0,0,4,0,0,53, Queanbeyan - East
$300-$324,0,3,0,0,6,0,0,4,9,10,9,12,9,13,10,0,0,0,8,0,4,0,3,0,0,100, Queanbeyan - East
$325-$349,0,0,0,0,0,0,4,0,4,5,13,4,8,9,0,5,0,0,4,0,0,0,0,0,0,54, Queanbeyan - East
$350-$374,0,3,0,0,0,3,5,6,0,11,11,12,5,8,3,0,3,0,0,0,0,0,0,0,0,77, Queanbeyan - East
$375-$399,0,0,0,0,0,0,0,0,3,3,0,3,0,6,3,3,0,0,0,0,0,0,0,0,0,32, Queanbeyan - East
$400-$424,0,0,0,0,0,0,4,0,3,6,12,4,4,10,9,7,3,0,4,0,0,0,0,0,0,68, Queanbeyan - East
$425-$449,0,0,0,0,0,0,0,0,0,6,0,0,3,5,3,0,0,0,0,0,0,0,0,0,0,24, Queanbeyan - East
$450-$474,0,0,0,0,0,0,0,0,3,0,5,0,8,23,3,7,0,0,0,0,0,0,4,0,0,61, Queanbeyan - East
$475-$499,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,6,0,0,0,0,0,0,4,0,0,25, Queanbeyan - East
$500-$524,0,0,0,0,0,0,0,0,3,0,0,0,5,8,7,5,4,0,0,0,0,0,0,0,0,36, Queanbeyan - East
$525-$549,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,0,0,0,0,0,0,0,0,0,0,18, Queanbeyan - East
$550-$649,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,4,0,0,0,0,0,0,0,0,36, Queanbeyan - East
$650-$749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,10, Queanbeyan - East
$750-$849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3, Queanbeyan - East
$850-$949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6, Queanbeyan - East
$950 and over,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Queanbeyan - East
Not stated,0,0,0,0,6,0,0,0,0,0,7,4,0,7,3,0,0,0,0,0,0,0,0,0,0,28, Queanbeyan - East
Not applicable,0,11,3,19,19,57,30,46,64,77,79,103,99,160,99,97,58,41,71,36,50,15,51,20,281,1579, Queanbeyan - East
Total,4,14,6,25,54,113,68,97,132,180,181,178,179,291,159,151,82,48,97,44,56,11,81,30,286,2589, Queanbeyan - East
$1-$74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Queanbeyan West - Jerrabomberra
$75-$99,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3, Queanbeyan West - Jerrabomberra
$100-$124,0,0,0,0,8,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18, Queanbeyan West - Jerrabomberra
$125-$149,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12, Queanbeyan West - Jerrabomberra
$150-$174,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,18, Queanbeyan West - Jerrabomberra
$175-$199,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13, Queanbeyan West - Jerrabomberra
$200-$224,0,0,0,0,0,0,7,0,5,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,27, Queanbeyan West - Jerrabomberra
$225-$249,0,0,0,0,0,0,0,0,3,4,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,14, Queanbeyan West - Jerrabomberra
$250-$274,0,0,0,0,0,0,4,0,0,5,9,4,4,6,7,3,8,0,0,0,0,0,5,0,0,46, Queanbeyan West - Jerrabomberra
$275-$299,0,0,0,0,0,0,4,0,4,4,6,6,3,4,0,5,0,0,0,0,0,0,4,0,0,31, Queanbeyan West - Jerrabomberra
$300-$324,0,0,0,0,3,0,3,3,6,3,0,4,3,5,9,5,4,6,7,0,3,0,9,0,0,69, Queanbeyan West - Jerrabomberra
$325-$349,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,7,0,0,5,0,0,0,0,0,27, Queanbeyan West - Jerrabomberra
$350-$374,0,0,0,0,0,0,0,0,0,0,5,4,8,15,6,8,4,3,9,9,4,0,3,0,0,94, Queanbeyan West - Jerrabomberra
$375-$399,0,0,0,0,0,0,0,0,0,5,0,0,0,8,3,3,8,5,5,0,3,0,4,0,0,44, Queanbeyan West - Jerrabomberra
$400-$424,0,0,0,0,0,0,0,4,0,4,5,3,4,19,0,0,3,0,0,0,0,0,3,0,0,57, Queanbeyan West - Jerrabomberra
$425-$449,0,0,0,0,0,0,0,0,4,0,3,0,4,4,4,0,0,0,4,0,0,0,0,0,0,31, Queanbeyan West - Jerrabomberra
$450-$474,0,0,0,0,0,0,5,0,4,0,0,6,3,11,9,6,4,0,0,0,0,0,4,0,0,69, Queanbeyan West - Jerrabomberra
$475-$499,0,0,0,0,0,0,0,0,6,0,5,3,3,6,3,3,0,0,0,0,0,0,0,0,0,39, Queanbeyan West - Jerrabomberra
$500-$524,0,0,0,0,0,0,0,0,4,0,5,3,3,10,10,3,5,0,3,0,0,3,8,0,0,65, Queanbeyan West - Jerrabomberra
$525-$549,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,21, Queanbeyan West - Jerrabomberra
$550-$649,0,3,0,0,0,0,0,0,4,4,0,7,7,27,16,9,8,4,17,7,5,0,7,0,0,130, Queanbeyan West - Jerrabomberra
$650-$749,0,3,0,0,0,0,0,0,0,0,3,0,0,11,11,19,7,5,15,8,5,0,5,0,0,101, Queanbeyan West - Jerrabomberra
$750-$849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,0,7,3,4,0,5,0,0,38, Queanbeyan West - Jerrabomberra
$850-$949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11, Queanbeyan West - Jerrabomberra
$950 and over,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7, Queanbeyan West - Jerrabomberra
Not stated,0,0,0,0,0,0,0,0,0,0,6,4,4,5,0,0,0,0,3,0,0,0,0,6,0,43, Queanbeyan West - Jerrabomberra
Not applicable,5,21,14,4,21,70,49,57,85,99,110,128,160,347,252,314,224,164,306,262,336,96,168,35,290,3621, Queanbeyan West - Jerrabomberra
Total,10,33,14,9,39,91,82,85,126,149,157,191,230,497,338,406,290,190,378,305,369,101,224,46,290,4624, Queanbeyan West - Jerrabomberra
$1-$74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Googong
$75-$99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Googong
$100-$124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Googong
$125-$149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Googong
$150-$174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Googong
$175-$199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Googong
$200-$224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Googong
$225-$249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Googong
$250-$274,0,0,0,0,0,0,0,0,0,0,3,0,0,3,5,0,3,0,0,0,0,0,3,0,0,28, Googong
$275-$299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4, Googong
$300-$324,0,0,0,0,0,0,0,0,0,0,0,7,8,7,6,6,8,0,0,0,0,0,3,0,0,37, Googong
$325-$349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,4,0,0,0,0,0,0,14, Googong
$350-$374,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,5,0,9,3,6,0,0,0,0,48, Googong
$375-$399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,7,0,4,0,0,0,3,0,0,18, Googong
$400-$424,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11, Googong
$425-$449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3, Googong
$450-$474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,12, Googong
$475-$499,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3, Googong
$500-$524,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7, Googong
$525-$549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3, Googong
$550-$649,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,4,3,0,0,0,0,0,0,0,0,47, Googong
$650-$749,0,0,0,0,0,0,0,0,0,0,0,0,5,17,15,17,14,0,12,5,9,0,0,0,0,92, Googong
$750-$849,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,4,7,5,6,9,4,0,4,0,0,55, Googong
$850-$949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Googong
$950 and over,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Googong
Not stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7, Googong
Not applicable,0,4,0,4,0,8,8,20,12,20,27,51,52,175,171,213,170,126,177,96,97,21,49,18,161,1696, Googong
Total,0,5,0,6,0,10,16,19,13,23,39,66,77,224,230,260,223,145,221,120,120,25,69,19,161,2091, Googong
$1-$74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5, Queanbeyan Surrounds
$75-$99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5, Queanbeyan Surrounds
